member,IL_mm,CL_mm_hr
1,32.6,3.95
2,18.2,3.86
3,40.6,1.21
4,27.9,0.56
5,7.5,1.54
6,59.3,1.06
7,31.8,1.96
8,33.3,8.92
9,8.6,1.14
10,18.5,1.61
11,16.0,3.99
12,50.2,2.56
13,25.8,0.59
14,36.7,1.08
15,18.3,7.41
16,11.4,0.89
17,22.2,3.33
18,6.0,4.63
19,37.2,1.41
20,25.3,3.99
21,31.6,1.1
22,15.5,1.48
23,58.3,1.58
24,44.4,9.5
25,32.9,1.25
26,10.4,0.97
27,19.0,7.08
28,5.0,1.08
29,9.3,5.89
30,27.3,3.43
31,30.8,2.96
32,57.8,4.24
33,14.5,4.0
34,16.0,0.91
35,19.1,9.61
36,10.3,7.63
37,8.6,6.15
38,19.3,3.24
39,11.4,2.64
40,26.8,2.72
41,18.1,0.45
42,37.8,2.5
43,28.0,3.25
44,14.0,3.48
45,37.7,1.67
46,34.7,2.35
47,16.6,3.34
48,13.2,2.12
49,27.3,8.33
50,8.9,3.8
51,10.6,0.38
52,3.2,0.49
53,33.4,3.69
54,26.6,2.04
55,28.3,5.29
56,33.0,1.11
57,18.8,0.44
58,22.7,1.92
59,8.9,4.09
60,8.2,8.66
61,26.7,5.95
62,19.1,2.42
63,22.6,4.89
64,32.0,0.73
65,25.4,2.93
66,22.1,7.03
67,22.4,1.96
68,13.7,8.26
69,4.3,1.27
70,18.1,0.89
71,11.0,2.65
72,17.3,6.45
73,40.1,1.58
74,11.6,4.7
75,5.7,1.1
76,13.0,4.18
77,13.4,2.84
78,26.5,1.12
79,22.3,3.92
80,33.2,3.88
81,26.6,2.59
82,17.2,1.28
83,35.7,0.98
84,9.7,8.16
85,3.9,3.46
86,7.3,4.84
87,29.4,3.73
88,18.9,5.14
89,9.5,1.08
90,20.0,2.48
91,9.3,3.54
92,27.9,0.89
93,18.4,1.04
94,16.4,3.32
95,13.7,5.73
96,25.2,3.49
97,15.7,0.56
98,7.2,8.61
99,8.3,1.0
100,56.7,1.31
101,46.8,8.77
102,28.0,4.42
103,12.6,7.45
104,58.1,4.8
105,32.9,3.44
106,29.0,1.47
107,18.5,1.65
108,12.8,7.82
109,7.6,5.61
110,45.7,1.79
111,18.7,1.85
112,10.7,1.52
113,13.8,1.64
114,23.2,5.61
115,9.9,0.43
116,40.4,2.16
117,31.6,7.67
118,29.2,2.76
119,18.0,2.24
120,25.1,1.58
121,23.4,0.74
122,26.0,1.28
123,7.0,0.83
124,17.5,0.96
125,4.9,1.08
126,19.8,1.53
127,14.6,0.43
128,9.0,7.92
129,7.9,0.95
130,23.5,1.9
131,9.8,5.89
132,49.9,0.9
133,23.2,2.41
134,15.2,5.37
135,23.6,2.84
136,3.9,1.23
137,56.1,4.09
138,19.5,3.63
139,33.1,1.8
140,6.9,0.61
141,19.6,0.41
142,19.7,5.08
143,52.2,1.62
144,22.9,1.0
145,19.2,2.61
146,12.6,6.91
147,14.7,0.42
148,20.8,0.66
149,18.2,2.06
150,3.9,3.59
151,37.1,2.37
152,44.8,6.16
153,8.9,0.6
154,22.2,1.71
155,8.0,1.76
156,26.9,1.71
157,13.0,2.44
158,26.4,4.61
159,29.7,1.61
160,32.3,4.17
161,8.0,1.03
162,48.2,2.86
163,11.5,1.86
164,4.7,2.74
165,22.2,0.9
166,16.0,8.03
167,37.5,6.41
168,35.1,5.1
169,14.2,6.09
170,55.0,1.03
171,13.3,2.52
172,20.6,1.61
173,12.3,6.01
174,51.9,1.17
175,9.6,1.26
176,5.0,3.66
177,18.1,0.82
178,62.4,4.06
179,44.3,1.42
180,31.0,3.5
181,44.2,5.8
182,44.5,3.16
183,20.8,1.24
184,14.1,0.62
185,32.5,0.6
186,26.5,0.82
187,16.1,2.98
188,7.5,1.74
189,30.9,1.34
190,12.5,1.26
191,52.0,7.86
192,11.8,0.94
193,8.4,1.55
194,37.6,2.35
195,9.3,0.38
196,10.0,6.92
197,24.0,0.87
198,42.4,3.64
199,10.5,3.29
200,14.0,4.84
201,32.8,3.43
202,58.6,4.41
203,20.0,2.09
204,9.0,2.44
205,3.5,3.77
206,11.5,2.91
207,8.7,2.57
208,27.1,1.22
209,8.4,1.39
210,20.3,1.79
211,27.8,0.42
212,23.2,2.07
213,10.6,0.39
214,34.7,2.89
215,29.0,3.79
216,30.4,2.87
217,8.7,3.71
218,8.5,0.38
219,50.3,0.67
220,16.9,3.74
221,13.6,4.74
222,19.7,3.92
223,26.5,3.51
224,55.5,3.82
225,13.2,4.13
226,49.8,3.98
227,4.0,4.11
228,22.2,0.75
229,25.4,0.69
230,8.0,1.8
231,8.9,2.67
232,17.6,4.34
233,57.5,1.68
234,23.8,1.44
235,51.3,4.52
236,34.7,1.36
237,19.0,5.01
238,33.3,1.13
239,3.7,1.79
240,8.1,1.98
241,37.4,1.52
242,34.0,0.39
243,11.6,1.32
244,21.2,1.69
245,24.2,1.59
246,41.7,4.56
247,24.1,0.61
248,17.4,1.93
249,16.1,0.56
250,17.8,7.25
251,26.1,4.61
252,41.6,9.01
253,18.6,6.55
254,12.0,1.6
255,11.7,3.7
256,30.9,1.55
257,36.0,6.02
258,7.9,2.03
259,6.1,1.87
260,23.8,6.68
261,9.1,5.25
262,36.9,8.47
263,14.0,0.71
264,9.0,1.34
265,49.1,1.53
266,9.6,2.1
267,13.1,2.36
268,9.3,1.5
269,8.2,4.61
270,3.9,1.28
271,5.6,3.73
272,9.9,5.48
273,5.5,3.12
274,23.6,1.77
275,27.2,1.16
276,16.8,0.99
277,14.2,4.17
278,20.2,2.34
279,42.5,0.61
280,39.8,9.07
281,5.0,3.56
282,10.1,5.36
283,11.7,2.18
284,12.1,8.1
285,22.8,1.2
286,17.5,1.15
287,5.3,6.06
288,16.1,6.08
289,21.0,2.49
290,7.8,0.96
291,37.9,1.55
292,5.4,4.26
293,49.8,5.39
294,7.8,1.74
295,39.0,0.68
296,45.7,3.53
297,60.0,4.13
298,34.4,2.1
299,32.9,3.0
300,25.7,9.19
301,32.9,1.35
302,8.8,2.94
303,21.4,3.17
304,20.6,2.79
305,40.5,5.74
306,18.9,3.13
307,16.5,2.55
308,25.6,0.95
309,12.6,3.78
310,8.9,0.98
311,19.3,0.51
312,17.5,2.44
313,11.6,2.93
314,15.9,9.59
315,15.9,3.87
316,14.5,5.43
317,16.3,1.73
318,27.4,2.55
319,13.5,8.74
320,54.3,2.07
321,48.2,4.81
322,19.4,2.66
323,14.6,1.28
324,21.4,2.98
325,39.5,1.26
326,26.1,0.39
327,34.7,1.32
328,21.3,1.18
329,25.3,1.84
330,13.2,6.03
331,30.2,1.92
332,10.7,5.38
333,27.8,2.83
334,40.9,0.41
335,8.7,1.16
336,24.6,7.27
337,7.6,3.13
338,29.6,7.21
339,7.0,1.57
340,51.9,3.91
341,8.8,4.43
342,56.2,8.79
343,34.3,0.47
344,23.7,7.99
345,33.1,1.94
346,33.9,5.27
347,53.8,2.77
348,12.2,2.89
349,23.6,1.79
350,7.6,5.13
351,24.6,1.41
352,9.8,2.46
353,22.6,2.86
354,22.9,4.15
355,19.0,2.35
356,20.9,3.62
357,32.0,2.42
358,34.2,3.49
359,19.8,3.58
360,24.0,3.84
361,51.0,5.05
362,8.4,2.74
363,8.3,1.18
364,7.2,3.62
365,26.3,0.76
366,17.6,1.26
367,32.6,4.63
368,26.8,2.16
369,14.7,2.49
370,45.0,9.19
371,31.9,1.31
372,12.7,0.47
373,15.8,0.91
374,14.1,1.34
375,9.4,4.0
376,9.1,4.47
377,51.9,2.89
378,18.1,1.38
379,16.4,2.63
380,29.8,0.45
381,22.1,3.63
382,51.9,3.19
383,33.0,0.48
384,19.4,4.96
385,16.2,4.35
386,61.3,1.56
387,29.1,3.33
388,54.7,3.11
389,8.3,1.02
390,39.8,1.18
391,25.5,3.64
392,8.4,7.35
393,23.5,2.96
394,27.4,2.91
395,3.4,3.4
396,18.6,2.19
397,37.0,0.65
398,13.5,1.96
399,18.8,6.21
400,18.3,4.77
401,13.7,7.14
402,48.6,1.05
403,33.0,2.54
404,8.1,3.01
405,63.2,1.23
406,42.9,1.2
407,13.1,4.53
408,38.3,3.57
409,8.0,3.41
410,63.6,1.42
411,26.6,2.54
412,26.0,0.49
413,7.3,0.97
414,44.9,2.61
415,4.2,1.57
416,11.8,8.45
417,9.0,2.35
418,32.8,0.79
419,10.5,0.46
420,47.2,3.99
421,26.3,1.11
422,4.6,1.16
